genes;method;hyperVolume;IGD;lastUpdateTime;lastUpdateIteration;LastUpdateFFE
123;skrajni2;55;0;0.0010247;7;933
123;skrajni1;55;0;0.0009979;4;500
123;default;55;0;0.0009995;8;967
123;skrajni2;55;0;0.0039867;27;3212
123;skrajni1;55;0;0.0009704;7;875
123;default;55;0;0.0009967;9;1122
123;skrajni2;55;0;0.0009969;7;882
123;skrajni1;55;0;0.0009968;5;606
123;default;55;0;0.0089691;72;8339
123;skrajni2;55;0;0.0039933;25;3016
123;skrajni1;55;0;0.001993;9;1134
123;default;55;0;0.003989;29;3476
123;skrajni2;55;0;0.0027476;17;2034
123;skrajni1;55;0;0.0009974;10;1249
123;default;55;0;0.0009971;9;1157
