genes;method;hyperVolume;IGD;lastUpdateTime;lastUpdateIteration;LastUpdateFFE
123;skrajni2_turniej;1139;0;0;0;100
123;skrajni1_turniej;1139;0;0;0;100
123;skrajni2;1139;0;0;0;100
123;skrajni1;1139;0;0;0;100
123;default;1139;0;0;0;100
123;skrajni2_turniej;1139;0;0;0;100
123;skrajni1_turniej;1139;0;0;0;100
123;skrajni2;1139;0;0;0;100
123;skrajni1;1139;0;0;0;100
123;default;1139;0;0;0;100
123;skrajni2_turniej;1139;0;0.0009966;0;100
123;skrajni1_turniej;1139;0;0;0;100
123;skrajni2;1139;0;0;0;100
123;skrajni1;1139;0;0;0;100
123;default;1139;0;0;0;100
123;skrajni2_turniej;1139;0;0;0;100
123;skrajni1_turniej;1139;0;0;0;100
123;skrajni2;1139;0;0;0;100
123;skrajni1;1139;0;0;0;100
123;default;1139;0;0;0;100
123;skrajni2_turniej;1139;0;0;0;100
123;skrajni1_turniej;1139;0;0;0;100
123;skrajni2;1139;0;0;0;100
123;skrajni1;1139;0;0;0;100
123;default;1139;0;0;0;100
