genes;method;hyperVolume;IGD;lastUpdateTime;lastUpdateIteration;LastUpdateFFE
123;skrajni2_turniej;55;0;0.013953;8;955
123;skrajni1_turniej;55;0;0.0109635;4;439
123;skrajni2;55;0;0.0019931;5;669
123;skrajni1;55;0;0;2;259
123;default;55;0;0.0019917;12;1423
123;skrajni2_turniej;55;0;0.005981;32;3433
123;skrajni1_turniej;55;0;0.0009941;2;317
123;skrajni2;55;0;0.0009965;9;1152
123;skrajni1;55;0;0.0019933;5;670
123;default;55;0;0.0019927;14;1727
123;skrajni2_turniej;55;0;0.0020284;17;1786
123;skrajni1_turniej;55;0;0;2;234
123;skrajni2;55;0;0.0049833;29;3421
123;skrajni1;55;0;0.0009965;2;340
123;default;55;0;0.0019929;8;1004
123;skrajni2_turniej;55;0;0.0019942;9;1012
123;skrajni1_turniej;55;0;0.0009957;4;522
123;skrajni2;55;0;0;2;344
123;skrajni1;55;0;0.0009962;3;470
123;default;55;0;0.0029904;17;2106
123;skrajni2_turniej;55;0;0.0009972;9;1037
123;skrajni1_turniej;55;0;0.0019904;4;511
123;skrajni2;55;0;0.0019928;13;1588
123;skrajni1;55;0;0.0009952;4;551
123;default;55;0;0.0009969;5;665
